Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,50.480000,50.480000,50.480000,50.480000,46.763298,0
2016-09-01,50.450001,50.450001,50.450001,50.450001,46.735504,0
2016-09-02,51.060001,51.060001,51.060001,51.060001,47.300594,0
2016-09-06,51.720001,51.720001,51.720001,51.720001,47.912003,0
2016-09-07,51.880001,51.880001,51.880001,51.880001,48.060219,0
2016-09-08,52.570000,52.570000,52.570000,52.570000,48.699417,0
2016-09-09,51.020000,51.020000,51.020000,51.020000,47.263538,0
2016-09-12,51.360001,51.360001,51.360001,51.360001,47.578506,0
2016-09-13,49.680000,49.680000,49.680000,49.680000,46.022194,0
2016-09-14,49.200001,49.200001,49.200001,49.200001,45.577545,0
2016-09-15,49.700001,49.700001,49.700001,49.700001,46.040726,0
2016-09-16,49.320000,49.320000,49.320000,49.320000,45.688702,0
2016-09-19,49.419998,49.419998,49.419998,49.419998,45.781342,0
2016-09-20,49.070000,49.070000,49.070000,49.070000,45.457111,0
2016-09-21,50.200001,50.200001,50.200001,50.200001,46.503910,0
2016-09-22,50.490002,50.490002,50.490002,50.490002,46.772564,0
2016-09-23,49.630001,49.630001,49.630001,49.630001,45.975880,0
2016-09-26,49.419998,49.419998,49.419998,49.419998,45.781342,0
2016-09-27,48.919998,48.919998,48.919998,48.919998,45.318153,0
2016-09-28,50.950001,50.950001,50.950001,50.950001,47.198692,0
2016-09-29,51.230000,51.230000,51.230000,51.230000,47.458076,0
2016-09-30,51.830002,51.830002,51.830002,51.830002,48.013901,0
2016-10-03,51.820000,51.820000,51.820000,51.820000,48.004635,0
2016-10-04,51.410000,51.410000,51.410000,51.410000,47.624825,0
2016-10-05,52.209999,52.209999,52.209999,52.209999,48.365921,0
2016-10-06,52.279999,52.279999,52.279999,52.279999,48.430767,0
2016-10-07,52.040001,52.040001,52.040001,52.040001,48.208439,0
2016-10-10,52.939999,52.939999,52.939999,52.939999,49.042175,0
2016-10-11,52.380001,52.380001,52.380001,52.380001,48.523403,0
2016-10-12,52.209999,52.209999,52.209999,52.209999,48.365921,0
2016-10-13,51.959999,51.959999,51.959999,51.959999,48.134327,0
2016-10-14,51.720001,51.720001,51.720001,51.720001,47.912003,0
2016-10-17,51.430000,51.430000,51.430000,51.430000,47.643349,0
2016-10-18,51.660000,51.660000,51.660000,51.660000,47.856415,0
2016-10-19,52.270000,52.270000,52.270000,52.270000,48.421505,0
2016-10-20,52.209999,52.209999,52.209999,52.209999,48.365921,0
2016-10-21,51.939999,51.939999,51.939999,51.939999,48.115799,0
2016-10-24,51.689999,51.689999,51.689999,51.689999,47.884205,0
2016-10-25,51.310001,51.310001,51.310001,51.310001,47.532185,0
2016-10-26,51.250000,51.250000,51.250000,51.250000,47.476604,0
2016-10-27,51.310001,51.310001,51.310001,51.310001,47.532185,0
2016-10-28,50.889999,50.889999,50.889999,50.889999,47.143112,0
2016-10-31,50.290001,50.290001,50.290001,50.290001,46.587284,0
2016-11-01,50.340000,50.340000,50.340000,50.340000,46.633602,0
2016-11-02,49.500000,49.500000,49.500000,49.500000,45.855450,0
2016-11-03,49.680000,49.680000,49.680000,49.680000,46.022194,0
2016-11-04,49.360001,49.360001,49.360001,49.360001,45.725761,0
2016-11-07,50.340000,50.340000,50.340000,50.340000,46.633602,0
2016-11-08,50.360001,50.360001,50.360001,50.360001,46.652130,0
2016-11-09,51.160000,51.160000,51.160000,51.160000,47.393230,0
2016-11-10,51.080002,51.080002,51.080002,51.080002,47.319122,0
2016-11-11,50.090000,50.090000,50.090000,50.090000,46.402012,0
2016-11-14,50.230000,50.230000,50.230000,50.230000,46.531704,0
2016-11-15,51.590000,51.590000,51.590000,51.590000,47.791573,0
2016-11-16,51.290001,51.290001,51.290001,51.290001,47.513657,0
2016-11-17,51.040001,51.040001,51.040001,51.040001,47.282066,0
